Product / Vertical;Country;Vendor;Domain;Source type;CATEGORY;entity;Term Alias;Term code;Term name;Term description;Json/XML Tag(if different);Default representation;Color scale;Data type;Length;Decimal;Units (Symbols);Accuracy;Range;Data_visibility;Data_source;Granularity;time zone;KPIs of KPIs;KPI formula;Example;IP source;schema_db;db_table_source;hierarchy;first_collection;last_collection
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_SES;Intermediate Frequency Severely Errored Second. IF_SES indicates the radio link severely errored second.SES refers to a second in which 30% or more than 30% errored blocks exist or at least one SDP exists. SDP is the period in which the BER of all the consecutive blocks in a period of less than four consecutive blocks or 1 ms (the longer period is applied) is equal to or higher than 10-2 or the signal is lost.;Intermediate Frequency Severely Errored Second. IF_SES indicates the radio link severely errored second.SES refers to a second in which 30% or more than 30% errored blocks exist or at least one SDP exists. SDP is the period in which the BER of all the consecutive blocks in a period of less than four consecutive blocks or 1 ms (the longer period is applied) is equal to or higher than 10-2 or the signal is lost.;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_SNR_AVG;Average signal to noise ratio;Average signal to noise ratio;;numerical;no;float;;2;dB;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_SNR_MAX;Maximum signal to noise ratio;Maximum signal to noise ratio;;numerical;no;float;;2;dB;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;IF_SNR_MIN;Minimum signal to noise ratio;Minimum signal to noise ratio;;numerical;no;float;;2;dB;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;AVAILABILITY;MW;;IF_UAS;indicates the radio link unavailable second. The unavailable time begins at the onset of 10 consecutive SESs. with the 10 SESs included. When SESs disappear for 10 consecutive seconds. the available time begins from the eleventh second. with the previous 10 seconds included.;indicates the radio link unavailable second. The unavailable time begins at the onset of 10 consecutive SESs. with the 10 SESs included. When SESs disappear for 10 consecutive seconds. the available time begins from the eleventh second. with the previous 10 seconds included.;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;AUDIT;ID;LNK;Link_Id;lnk_id;Link Identificator. Corresponde al identificador de un enlace de microondas.;Link Identificator. Corresponde al identificador de un enlace de microondas.;;alpha-numeric;no;string;;NA;NA;;;;;daily;;;;TAR_TAR_002527;xxx.xxx.xxx.xxx;;CM_AUDIT_MASTERLINKS;date,lnk_id,lnk_name;;
WIRELESS;MEX;HUAWEI;TX;AUDIT;ID;LNK;Link_Name;lnk_name;Link Name. Corresponde al nombre de un enlace de microondas. Normamente llevará identificadores del origen y destino ;Link Name. Corresponde al nombre de un enlace de microondas. Normamente llevará identificadores del origen y destino ;;alpha-numeric;no;string;;NA;NA;;;;;daily;;;;MXDIFALO0029MW02(3-ISM6-2)-MXDIFCUJ1359MW02(1-ISM6-2);xxx.xxx.xxx.xxx;;CM_AUDIT_MASTERLINKS;date,lnk_id,lnk_name;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;MW_BER_EXC;The MW_BER_EXC alarm indicates that there are excessive bit errors on the radio link. This alarm is reported if the BER on the radio link exceeds the specified threshold (10-3 by default).The possible causes of the MW_BER_EXC alarm are as follows: Cause 1: Signal attenuation on the radio link is too heavy. Cause 2: There is link interference.;The MW_BER_EXC alarm indicates that there are excessive bit errors on the radio link. This alarm is reported if the BER on the radio link exceeds the specified threshold (10-3 by default).The possible causes of the MW_BER_EXC alarm are as follows: Cause 1: Signal attenuation on the radio link is too heavy. Cause 2: There is link interference.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;MW_BER_SD;The MW_BER_SD alarm indicates that signals deteriorate on the radio link. This alarm is reported if the BER on the radio link exceeds the specified threshold (10-6 by default) but does not reach the MW_BER_EXC alarm threshold (10-3 by default). The possible causes  are as follows: Cause 1: Signal attenuation on the radio link is too heavy. Cause 2: There is link interference.;The MW_BER_SD alarm indicates that signals deteriorate on the radio link. This alarm is reported if the BER on the radio link exceeds the specified threshold (10-6 by default) but does not reach the MW_BER_EXC alarm threshold (10-3 by default). The possible causes  are as follows: Cause 1: Signal attenuation on the radio link is too heavy. Cause 2: There is link interference.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;MW_FEC_UNCOR;The MW_FECUNCOR alarm indicates that the microwave frame forward error correction (FEC) function cannot correct the incorrect codes. This alarm is reported when uncorrectable bit errors occur in the FEC code at the local station.;The MW_FECUNCOR alarm indicates that the microwave frame forward error correction (FEC) function cannot correct the incorrect codes. This alarm is reported when uncorrectable bit errors occur in the FEC code at the local station.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;AVAILABILITY;MW;;MW_LIM;The MW_LIM alarm indicates that a mismatched radio link identifier is detected. This alarm is reported if an IF board detects that the link ID in the microwave frame overheads is inconsistent with the specified link ID.;The MW_LIM alarm indicates that a mismatched radio link identifier is detected. This alarm is reported if an IF board detects that the link ID in the microwave frame overheads is inconsistent with the specified link ID.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;AVAILABILITY;MW;;MW_LOF; The MW_LOF alarm indicates that the microwave frames are lost.; The MW_LOF alarm indicates that the microwave frames are lost.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;AVAILABILITY;MW;;MW_RDI;The MW_RDI alarm indicates that there are defects at the remote end of a radio link. When the sink end (the receiver) detects that an alarm is generated in the service due to the fault of the radio link. the sink end returns the RDI message to the source end (the transmitter). This alarm is reported if an IF board detects an RDI in the microwave frame overheads.;The MW_RDI alarm indicates that there are defects at the remote end of a radio link. When the sink end (the receiver) detects that an alarm is generated in the service due to the fault of the radio link. the sink end returns the RDI message to the source end (the transmitter). This alarm is reported if an IF board detects an RDI in the microwave frame overheads.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;PORT_RX_BW_UTILIZATION;Indicates the bandwidth usage on a port in the receive direction.;Indicates the bandwidth usage on a port in the receive direction.;;numerical;yes;float;3;2;%;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30014;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;PORT_TX_BW_UTILIZATION;Indicates the bandwidth usage on a port in the transmit direction.;Indicates the bandwidth usage on a port in the transmit direction.;;numerical;yes;float;3;2;%;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30014;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;NP;LOCATION;MW;;Province;Province;Demarcación territorial administrativa de las varias en que se organizan algunos Estados o instituciones. Distrito de los diferentes en que divide un territorio y que contiene determinado número de minicipios.;;alpha-numeric;no;string;;NA;NA;;;;;;;;;Tarragona;;;;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAM_L_WS1024;Working time of the 1024QAM light mode;Working time of the 1024QAM light mode;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAM_L_WS512;Working time of the 512QAM light mode;Working time of the 512QAM light mode;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAM_S_WS16;Working time of the 16QAM strong mode;Working time of the 16QAM strong mode;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAMWS1024;Working time of the 1024QAM mode;Working time of the 1024QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;QAMWS128;Working time of the 128QAM mode;Working time of the 128QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;QAMWS16;Working time of the 16QAM mode;Working time of the 16QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAMWS2048;Working time of the 2048QAM modulation scheme;Working time of the 2048QAM modulation scheme;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;QAMWS256;Working time of the 256QAM mode;Working time of the 256QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;QAMWS32;Working time of the 32QAM mode;Working time of the 32QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAMWS4096;Working time in 4096QAM mode;Working time in 4096QAM mode;;numerical;no;integer;;;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QAMWS512;Working time of the 512QAM mode;Working time of the 512QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;QAMWS64;Working time of the 64QAM mode;Working time of the 64QAM mode;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30029;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_1000M_WS;Working time of the QPSK strong modulation scheme with 1000 MHz spacing;Working time of the QPSK strong modulation scheme with 1000 MHz spacing;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_125M_WS;Working time of the QPSK strong modulation scheme with 125 MHz spacing;Working time of the QPSK strong modulation scheme with 125 MHz spacing;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_250M_WS;Working time of the QPSK strong modulation scheme with 250 MHz spacing;Working time of the QPSK strong modulation scheme with 250 MHz spacing;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_500M_WS;Working time of the QPSK strong modulation scheme with 500 MHz spacing;Working time of the QPSK strong modulation scheme with 500 MHz spacing;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_62P5M_WS;Working time of the QPSK strong modulation scheme with 62.5 MHz spacing;Working time of the QPSK strong modulation scheme with 62.5 MHz spacing;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_750M_WS;Working time of the QPSK strong modulation scheme with 750 MHz spacing;Working time of the QPSK strong modulation scheme with 750 MHz spacing;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;QPSK_S_WS;Working time of the QPSK strong mode;Working time of the QPSK strong mode;;numerical;no;integer;;0;Second;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;AVAILABILITY;MW;;RADIO_MUTE;The RADIO_MUTE alarm indicates that radio transmitter is muted. This alarm is reported when the output of the transmitter is shut down.;The RADIO_MUTE alarm indicates that radio transmitter is muted. This alarm is reported when the output of the transmitter is shut down.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RADIO_RSL_LOW ;Alarm indicates that the radio receive power is very low. This alarm is reported if the detected receive power is equal to or less than the lower threshold of the ODU (-90 dBm). If no MW_LOF or MW_FEC_UNCOR alarm is generated. the services are not affected.;Alarm indicates that the radio receive power is very low. This alarm is reported if the detected receive power is equal to or less than the lower threshold of the ODU (-90 dBm). If no MW_LOF or MW_FEC_UNCOR alarm is generated. the services are not affected.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RADIO_TSL_LOW ;The RADIO_TSL_LOW alarm indicates that the radio transmit power is very low. This alarm is reported if the detected transmit power is less than the lower power threshold of the ODU.;The RADIO_TSL_LOW alarm indicates that the radio transmit power is very low. This alarm is reported if the detected transmit power is less than the lower power threshold of the ODU.;;numerical;yes;boolean;1;0;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;NP;LOCATION;MW;;Region;Region;Agrupación de provincias custom del operador. ;;alpha-numeric;no;string;;NA;NA;;;;;;;;;SOUTH;;;;;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RLHTT;Received Level High Threshold Time. The RLHTT indicates the duration when the ODU at the local end has a receive power lower than the upper threshold.;Received Level High Threshold Time. The RLHTT indicates the duration when the ODU at the local end has a receive power lower than the upper threshold.;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RLLTT;Received Level Low Threshold Time. The RLLTT indicates the duration when the ODU at the local end has a receive power lower than the lower threshold.;Received Level Low Threshold Time. The RLLTT indicates the duration when the ODU at the local end has a receive power lower than the lower threshold.;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RSL_AVG;Received Signal Level Average;Valor promedio de nivel de señal recibido en una microondas;;numerical;no;float;;;0.1 dBm;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RSL_CUR;Received Signal Level Current;Valor actual de nivel de señal recibido en una microondas;;numerical;no;float;;;0.1 dBm;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RSL_MAX;Received Signal Level MAX;Maximo valor de nivel de señal recibido en una microondas;;numerical;no;float;2;2;dBm;0.1;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;COVERAGE;MW;;RSL_MIN;Received Signal Level MIN;Mínimo valor de nivel de señal recibido en una microondas;;numerical;no;float;2;2;dBm;0.1;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;RX_DROP_PKTS;RX_DROP_PKTS;Número de paquetes recibidos pero descartados en esa interfaz.;;;;;;;;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30014;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;;RXPKTS;Indicates the packets received.;Indicates the packets received.;;numerical;no;integer;;0;packets;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30014;resourcename,deviceid,devicename;;
WIRELESS;MEX;HUAWEI;TX;PM;TRAFFIC;MW;THROUGHPUT;Throughput;Throughput;Throughput del enlace;;;;;;;;;;;;15;;;;;;;TBD;;;
WIRELESS;MEX;HUAWEI;TX;CM;CONFIGURATION;MW;;Tilt;Inclinación de una antena con respecto al cenit. Cuando la antena está inclinada hacia abajo. se denomina  'downtilt'. que es el uso más común. Si la inclinación es hacia arriba se denomila 'uptilt'. El tilt puede ser eléctrico o mecánico. El tilt mecánico (MDT) es una inclinación física de la antena. El tilt eléctrico (EDT) es una inclinación del siagrma de radiación de la antena.;Inclinación de una antena con respecto al cenit. Cuando la antena está inclinada hacia abajo. se denomina  'downtilt'. que es el uso más común. Si la inclinación es hacia arriba se denomila 'uptilt'. El tilt puede ser eléctrico o mecánico. El tilt mecánico (MDT) es una inclinación física de la antena. El tilt eléctrico (EDT) es una inclinación del siagrma de radiación de la antena.;;numerical;no;float;2;1;º;;;;;;;;;5º EDT;;;;;;
WIRELESS;MEX;HUAWEI;TX;PM;QoS;MW;;TLHTT;Transmitted Level High Threshold Time. The TLHTT indicates the duration when the ODU at the local end has a transit power higher than the upper threshold;Transmitted Level High Threshold Time. The TLHTT indicates the duration when the ODU at the local end has a transit power higher than the upper threshold;;numerical;no;integer;;0;Second;;;;;15;;;;;xxx.xxx.xxx.xxx;;PM_IG30028;resourcename,deviceid,devicename;;
